"Figure 1: Average UK house prices fell in the 12 months to December 2023 (provisional estimate)",""
"Annual house price rates of change for all dwellings, UK, January 2006 to December 2023",""
"",""
"Notes","1.  Estimates are not seasonally adjusted. 

2.  The [HMLR's UK House Price Index (HPI) release on GOV.UK ](https://www.gov.uk/government/collections/uk-house-price-index-reports)is available to download. 

3.  Volatility in 2021 and 2022 reflects house price movements around changes in Stamp Duty Land Tax in 2021."
"Unit","12-month percentage change"
"",""
"Month","12 month percentage change "
"Jan 2006","6.2"
"Feb 2006","6.5"
"Mar 2006","6.5"
"Apr 2006","7.3"
"May 2006","7.1"
"Jun 2006","7.3"
"Jul 2006","7.4"
"Aug 2006","7.9"
"Sep 2006","8.5"
"Oct 2006","9.4"
"Nov 2006","9.6"
"Dec 2006","10.4"
"Jan 2007","10.5"
"Feb 2007","10.6"
"Mar 2007","10.6"
"Apr 2007","10.4"
"May 2007","10.6"
"Jun 2007","10.8"
"Jul 2007","10.6"
"Aug 2007","10.3"
"Sep 2007","10.0"
"Oct 2007","9.1"
"Nov 2007","8.5"
"Dec 2007","7.0"
"Jan 2008","5.1"
"Feb 2008","3.9"
"Mar 2008","2.4"
"Apr 2008","0.5"
"May 2008","0.0"
"Jun 2008","-2.4"
"Jul 2008","-4.7"
"Aug 2008","-7.2"
"Sep 2008","-9.7"
"Oct 2008","-11.3"
"Nov 2008","-13.7"
"Dec 2008","-14.9"
"Jan 2009","-15.4"
"Feb 2009","-15.6"
"Mar 2009","-15.5"
"Apr 2009","-14.9"
"May 2009","-14.3"
"Jun 2009","-12.2"
"Jul 2009","-9.7"
"Aug 2009","-6.9"
"Sep 2009","-3.7"
"Oct 2009","-1.0"
"Nov 2009","2.2"
"Dec 2009","4.4"
"Jan 2010","6.5"
"Feb 2010","8.0"
"Mar 2010","8.7"
"Apr 2010","9.1"
"May 2010","8.1"
"Jun 2010","7.6"
"Jul 2010","6.8"
"Aug 2010","5.7"
"Sep 2010","4.6"
"Oct 2010","2.8"
"Nov 2010","1.2"
"Dec 2010","0.4"
"Jan 2011","-0.1"
"Feb 2011","-0.9"
"Mar 2011","-1.3"
"Apr 2011","-1.1"
"May 2011","-2.0"
"Jun 2011","-2.3"
"Jul 2011","-2.1"
"Aug 2011","-2.0"
"Sep 2011","-2.0"
"Oct 2011","-2.0"
"Nov 2011","-0.7"
"Dec 2011","-1.0"
"Jan 2012","-0.8"
"Feb 2012","-0.6"
"Mar 2012","0.2"
"Apr 2012","-0.2"
"May 2012","0.6"
"Jun 2012","1.4"
"Jul 2012","0.5"
"Aug 2012","0.5"
"Sep 2012","0.4"
"Oct 2012","0.8"
"Nov 2012","0.9"
"Dec 2012","1.1"
"Jan 2013","1.1"
"Feb 2013","1.3"
