Title,Gross Domestic Product: chained volume measures: Seasonally adjusted £m
CDID,ABMI
Source dataset ID,UKEA
PreUnit,£
Unit,m
Release date,30-09-24
Next release,23-Dec-24
Important notes,
1948,422621
1949,436620
1950,451212
1951,467977
1952,474994
1953,501347
1954,523179
1955,544215
1956,553423
1957,564307
1958,571904
1959,596321
1960,634027
1961,650974
1962,657951
1963,689724
1964,729071
1965,744486
1966,756036
1967,776859
1968,819239
1969,834903
1970,857471
1971,888485
1972,927226
1973,987527
1974,962880
1975,948361
1976,976967
1977,1001004
1978,1042953
1979,1081838
1980,1059660
1981,1052374
1982,1073055
1983,1117759
1984,1142579
1985,1189278
1986,1226237
1987,1292703
1988,1362204
1989,1394928
1990,1402748
1991,1383043
1992,1386437
1993,1417763
1994,1466101
1995,1501088
1996,1539846
1997,1615678
1998,1670654
1999,1721748
2000,1796500
2001,1842720
2002,1875809
2003,1934941
2004,1982500
2005,2036675
2006,2085162
2007,2139895
2008,2134571
2009,2035942
2010,2081411
2011,2105105
2012,2136871
2013,2175333
2014,2244827
2015,2294727
2016,2338825
2017,2400956
2018,2434694
2019,2474245
2020,2219474
2021,2409815
2022,2526428
2023,2535017
