index date   ,name,CPIH ALL ITEMS,FOOD AND NON-ALCOHOLIC BEVERAGES,FOOD,BREAD & CEREALS,MEAT,FISH,"MILK, CHEESE & EGGS",OILS & FATS,FRUIT,VEGETABLES INCLUDING POTATOES AND TUBERS,"SUGAR, JAM, SYRUPS, CHOCOLATE AND CONFECTIONERY",FOOD PRODUCTS (NEC),NON-ALCOHOLIC BEVERAGES,"COFFEE, TEA & COCOA","MINERAL WATERS, SOFT DRINKS AND JUICES",ALCOHOLIC BEVERAGES AND TOBACCO,ALCOHOLIC BEVERAGES,SPIRITS,WINE,BEER,TOBACCO,CLOTHING AND FOOTWEAR,CLOTHING,GARMENTS,OTHER CLOTHING & CLOTHING ACCESSORIES,"CLEANING, REPAIR AND HIRE OF CLOTHING",FOOTWEAR INCLUDING REPAIRS,"HOUSING, WATER, ELELCTRICITY, GAS AND OTHER FUELS",ACTUAL RENTALS FOR HOUSING,OOH,REGULAR MAINTENANCE AND REPAIR OF THE DWELLING,MATERIALS FOR MAINTENANCE AND REPAIR,SERVICES FOR MAINTENANCE AND REPAIR,WATER SUPPLY AND MISC. SERVICES FOR THE DWELLING,WATER SUPPLY,SEWERAGE COLLECTION,"ELECTRICITY, GAS AND OTHER FUELS",ELECTRICITY,GAS,LIQUID FUELS,SOLID FUELS,COUNCIL TAX AND OTHER RATES,"FURNITURE, HOUSEHOLD EQUIPMENT AND MAINTENANCE","FURNITURE, FURNISHINGS & CARPETS",FURNITURE & FURNISHINGS,CARPETS & OTHER FLOOR COVERINGS,HOUSEHOLD TEXTILES,"HOUSEHOLD APPLIANCES, FITTING AND REPAIRS",MAJOR APPLIANCES AND SMALL ELECTRIC GOODS,REPAIR OF HOUSEHOLD APPLIANCES,"GLASSWARE, TABLEWARE & HOUSEHOLD UTENSILS",TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,GOODS AND SERVICES FOR ROUTINE MAINTENANCE,NON-DURABLE HOUSEHOLD GOODS,DOMESTIC SERVICES AND HOUSEHOLD SERVICES,HEALTH,"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",PHARMACEUTICAL PRODUCTS,OTHER MEDICAL & THERAPEUTIC EQUIPMENT,OUT-PATIENT SERVICES,MEDICAL SERVICES AND PARAMEDICAL SERVICES,DENTAL SERVICES,HOSPITAL SERVICES,TRANSPORT,PURCHASE OF VEHICLES,MOTOR CYCLES AND BICYCLES,NEW CARS,SECOND-HAND CARS,OPERATION OF PERSONAL TRANSPORT EQUIPMENT,SPARE PARTS & ACCESSORIES,FUELS & LUBRICANTS,MAINTENANCE & REPAIRS,OTHER SERVICES IN RESPECT OF PERSONAL TRANSPORT EQ,TRANSPORT SERVICES,PASSENGER TRANSPORT BY RAILWAY,PASSENGER TRANSPORT BY ROAD,PASSENGER TRANSPORT BY AIR,PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY,COMMUNICATION,POSTAL SERVICES,TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES,RECREATION & CULTURE,AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS,RECEPTION AND REPRODUCTION OF SOUND AND PICTURES,PHOTOGRAPHIC AND CINE. EQU. & OPTICAL INSTRUMENTS,DATA PROCESSING EQUIPMENT,RECORDING MEDIA,REPAIR OF AUDIO-VISUAL & RELATED PRODUCTS,OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,MAJOR DURABLES FOR IN/OUTDOOR RECREATION,"OTHER RECREATIONAL ITEMS, GARDENS & PETS",GAMES TOYS AND HOBBIES,EQUIPMENT FOR SPORT & OPEN-AIR RECREATION,GARDEN PLANTS AND FLOWERS,"PETS, RELATED PRODUCTS AND SERVICES",RECREATIONAL AND CULTURAL SERVICES,RECREATIONAL AND SPORTING SERVICES,CULTURAL SERVICES,"BOOKS, NEWSPAPERS AND STATIONERY",BOOKS,NEWSPAPERS AND PERIODICALS,"MISC. PRINTED MATTER, STATIONERY, DRAWING MATERIALS",PACKAGE HOLIDAY,EDUCATION,RESTAURANTS AND HOTELS,CATERING SERVICES,RESTAURANTS & CAFES,CANTEENS,ACCOMMODATION SERVICES,MISCELLANEOUS GOODS AND SERVICES,PERSONAL CARE,HAIRDRESSING & PERSONAL GROOMING ESTABLISHMENTS,APPLIANCES & PRODUCTS FOR PERSONAL CARE,PERSONAL EFFECTS (NEC),JEWELLERY CLOCKS AND WATCHES,OTHER PERSONAL EFFECTS,SOCIAL PROTECTION,INSURANCE,HOUSE CONTENTS INSURANCE,HEALTH INSURANCE,TRANSPORT INSURANCE,FINANCIAL SERVICES (NEC),OTHER FINANCIAL SERVICES (NEC),OTHER SERVICES (NEC)
198801,Jan-88,46.851,47.901,48.244,50.053,53.741,43.321,48.488,45.461,49.436,53.122,37.708,55.290,45.113,51.268,43.126,27.262,54.270,50.806,51.860,65.694,16.299,191.973,200.293,221.258,100.311,33.953,153.451,38.714,31.135,44.368,39.718,51.025,31.517,21.525,21.168,22.316,29.131,33.084,25.163,32.982,31.613,32.934,68.285,62.115,66.671,51.110,119.687,104.257,122.275,..,81.388,69.357,41.039,56.961,29.814,37.606,51.344,53.642,..,..,..,..,..,40.338,88.070,64.207,..,126.807,29.211,53.239,30.397,24.760,30.367,22.288,27.727,29.430,..,..,96.974,25.432,109.683,73.343,701.234,992.325,2086.334,..,139.696,..,..,..,92.750,151.701,..,73.723,43.622,32.830,29.616,35.038,37.496,42.221,29.129,48.029,..,12.344,32.871,33.114,33.257,30.550,..,45.903,50.538,29.290,62.024,68.737,57.272,96.977,..,22.735,51.859,..,15.745,95.434,95.434,30.016
198802,Feb-88,46.998,48.174,48.501,50.353,53.386,43.670,48.523,45.921,50.905,54.709,37.637,55.152,45.544,51.444,43.727,27.365,54.694,51.108,52.254,66.425,16.319,193.181,201.659,222.922,100.408,34.158,154.142,38.791,31.160,44.502,39.935,51.353,31.640,21.525,21.168,22.316,29.077,33.084,25.163,31.374,31.686,32.934,68.649,62.524,67.034,51.698,121.064,104.482,122.539,..,81.774,69.706,41.243,57.240,29.981,37.662,51.420,53.721,..,..,..,..,..,40.317,87.786,64.306,..,126.363,29.225,54.781,30.111,24.996,30.490,22.407,27.727,29.692,..,..,96.963,25.432,109.669,73.553,699.232,989.685,2081.077,..,139.227,..,..,..,93.270,152.819,..,74.273,43.744,32.843,29.627,35.051,37.872,42.643,29.421,48.509,..,12.348,33.025,33.269,33.412,30.697,..,46.086,50.716,29.473,62.157,68.892,57.401,97.196,..,22.735,51.859,..,15.745,95.491,95.491,30.358
198803,Mar-88,47.202,48.324,48.643,50.311,53.721,43.130,48.551,46.108,50.650,55.269,37.856,55.116,45.779,51.420,44.127,27.433,55.033,51.567,52.462,66.932,16.322,194.760,203.183,224.736,100.740,34.341,155.722,38.993,31.183,44.881,40.037,51.524,31.681,21.525,21.168,22.316,29.029,33.084,25.163,30.139,31.662,32.934,69.179,63.449,68.062,52.345,122.279,104.923,123.056,..,82.138,69.909,41.438,57.468,30.322,38.192,52.143,54.477,..,..,..,..,..,40.559,88.826,64.859,..,127.885,29.285,55.018,30.132,25.124,30.504,22.407,27.727,29.692,..,..,96.968,25.432,109.676,73.580,697.344,983.970,2085.896,..,139.476,..,..,..,93.429,153.024,..,74.676,43.742,32.904,29.682,35.117,37.902,42.677,29.444,48.548,..,12.349,33.115,33.360,33.503,30.784,..,46.108,50.839,29.597,62.253,68.536,57.105,96.694,..,22.735,51.859,..,15.745,95.660,95.660,30.485
198804,Apr-88,47.801,48.592,48.894,50.548,53.736,43.151,48.861,46.249,51.559,55.704,38.021,55.874,46.222,51.497,44.806,27.824,55.658,51.922,53.030,68.229,16.585,195.128,203.510,225.033,100.944,34.583,156.166,39.763,32.915,45.245,40.277,51.670,32.034,23.105,22.493,24.195,29.387,33.653,25.449,30.154,31.660,35.733,69.502,63.858,68.624,52.271,122.613,105.388,123.601,..,82.674,69.708,41.640,57.760,30.408,38.385,52.406,54.752,..,..,..,..,..,41.075,90.192,65.331,..,129.914,29.682,55.216,30.715,25.325,30.623,22.412,27.727,29.704,..,..,96.966,25.432,109.673,74.924,704.844,988.088,2277.109,..,139.029,..,..,..,93.369,153.602,..,74.283,43.636,34.647,31.254,36.976,38.120,42.922,29.613,48.827,..,12.360,33.526,33.773,33.914,31.211,..,46.369,51.226,30.015,62.523,68.551,57.117,96.715,..,22.848,51.859,..,15.902,95.621,95.621,30.795
198805,May-88,48.044,48.714,48.968,50.970,54.186,42.799,48.770,46.346,51.643,54.801,38.065,56.559,46.832,51.364,45.884,27.931,55.867,51.993,53.309,68.470,16.649,197.851,206.996,229.469,100.881,34.726,156.664,40.011,32.975,45.524,40.445,51.888,32.167,23.127,22.536,24.195,29.819,34.553,25.908,30.364,30.189,35.733,69.834,64.219,69.042,52.467,122.948,106.048,124.375,..,83.177,69.929,41.721,57.874,30.464,38.513,52.582,54.935,..,..,..,..,..,41.217,90.684,65.779,..,130.611,29.678,55.210,30.659,25.418,30.690,22.628,27.934,30.031,..,..,96.958,25.432,109.662,75.220,703.984,985.895,2280.364,..,139.002,..,..,..,94.027,153.747,..,75.804,43.876,34.741,31.339,37.077,38.442,43.285,29.864,49.240,..,12.365,33.670,33.919,34.065,31.296,..,46.538,51.388,30.106,62.726,68.656,57.204,96.863,..,22.924,52.066,..,15.945,95.674,95.674,31.078
198806,Jun-88,48.210,48.793,49.004,51.040,54.685,42.942,48.588,46.244,54.255,53.125,38.040,56.659,47.335,52.306,46.143,27.942,55.981,52.085,53.392,68.718,16.639,198.489,207.836,230.491,101.005,34.802,156.718,40.179,33.136,45.610,40.536,51.989,32.253,23.127,22.536,24.195,30.338,35.426,26.366,29.879,29.974,35.733,69.987,64.387,69.271,52.447,123.086,105.908,124.210,..,83.194,70.299,42.048,58.291,30.876,38.608,52.712,55.071,..,..,..,..,..,41.582,91.734,65.926,..,132.196,29.927,55.368,30.956,25.678,30.809,22.645,27.934,30.069,..,..,96.948,25.432,109.649,75.162,700.327,977.916,2259.250,..,139.291,..,..,..,94.236,154.055,..,76.162,43.918,34.741,31.339,37.077,38.455,43.300,29.874,49.256,..,12.377,33.785,34.035,34.185,31.367,..,46.703,51.621,30.234,63.019,68.746,57.279,96.990,..,22.924,52.066,..,15.945,96.600,96.600,31.248
198807,Jul-88,48.233,48.355,48.483,51.199,54.403,42.778,48.586,46.512,54.158,48.895,37.998,57.450,47.730,53.133,46.294,27.941,56.040,52.240,53.440,68.625,16.626,195.092,203.484,224.955,100.822,34.832,156.106,40.351,33.238,45.756,40.845,52.532,32.351,23.127,22.536,24.195,30.670,35.929,26.652,30.285,29.821,35.733,69.900,63.995,68.714,52.572,121.782,104.997,123.143,..,83.591,70.399,42.776,59.377,31.051,38.683,52.814,55.177,..,..,..,..,..,41.829,92.517,65.846,..,133.401,30.023,55.353,31.018,25.906,30.907,22.794,27.934,30.397,..,..,96.938,25.432,109.637,75.262,697.189,968.251,2265.530,..,139.789,..,..,..,94.767,155.917,..,75.650,44.198,34.703,31.305,37.036,38.715,43.592,30.076,49.589,..,12.375,33.887,34.137,34.292,31.406,..,47.195,51.953,30.336,63.522,69.347,57.780,97.839,..,24.017,54.918,..,16.592,96.544,96.544,31.354
198808,Aug-88,48.491,48.583,48.697,51.212,54.712,42.502,49.455,47.122,52.080,49.510,38.097,57.680,48.099,53.161,46.882,27.968,56.091,52.291,53.507,68.618,16.643,195.298,203.338,224.818,100.504,34.935,157.212,40.694,33.221,46.407,40.995,52.726,32.471,23.127,22.536,24.195,30.617,35.929,26.652,29.086,29.735,35.733,70.211,64.138,68.665,53.365,122.140,105.375,123.586,..,84.190,70.784,43.097,59.814,31.324,38.919,53.136,55.514,..,..,..,..,..,41.995,93.261,65.793,..,134.542,30.003,55.440,30.978,25.849,31.014,22.938,27.934,30.715,..,..,96.921,25.432,109.615,75.439,697.368,969.244,2256.037,..,139.840,..,..,..,95.081,156.693,..,75.502,44.404,34.793,31.386,37.133,38.850,43.744,30.181,49.762,..,12.392,34.116,34.368,34.546,31.384,..,47.408,52.170,30.482,63.767,69.592,57.984,98.184,..,24.017,54.918,..,16.592,96.168,96.168,31.712
198809,Sep-88,48.716,48.765,48.866,51.483,54.874,42.837,49.560,47.904,50.993,50.200,38.222,57.273,48.414,53.352,47.283,28.016,56.224,52.336,53.643,68.905,16.665,198.023,206.590,228.781,101.169,35.051,158.323,40.830,33.294,46.605,41.073,52.763,32.596,23.127,22.536,24.195,30.708,35.929,26.652,28.022,31.073,35.733,70.752,64.787,69.332,54.000,122.938,106.280,124.647,..,84.664,70.932,43.403,60.292,31.293,39.014,53.266,55.650,..,..,..,..,..,42.107,93.707,66.195,..,135.176,30.037,55.515,30.912,26.048,31.232,22.949,27.934,30.738,..,..,97.645,26.925,109.631,75.386,690.479,955.232,2235.320,..,139.673,..,..,..,95.242,157.320,..,75.635,44.374,34.926,31.506,37.275,38.922,43.825,30.236,49.854,..,13.117,34.359,34.613,34.790,31.623,..,47.560,52.407,30.695,63.977,69.699,58.073,98.334,..,24.017,54.918,..,16.592,96.428,96.428,31.849
198810,Oct-88,49.045,48.838,48.936,51.609,54.603,42.555,49.834,48.293,50.048,50.880,38.317,57.760,48.521,53.405,47.428,28.115,56.343,52.454,53.778,68.974,16.738,201.946,210.566,233.100,104.027,35.237,161.767,41.280,33.587,47.361,41.209,52.837,32.803,23.127,22.536,24.195,30.744,35.929,26.652,28.339,31.319,35.733,70.942,65.019,69.611,54.091,123.290,106.496,124.900,..,84.515,71.112,43.652,60.619,31.559,39.269,53.614,56.013,..,..,..,..,..,42.203,94.147,67.042,..,135.747,30.029,55.542,30.845,26.109,31.383,23.016,27.934,30.885,..,..,97.621,26.925,109.600,75.670,692.194,956.065,2263.005,..,139.959,..,..,..,95.604,156.812,..,76.894,44.532,34.914,31.495,37.262,39.331,44.286,30.555,50.379,..,13.126,34.555,34.811,34.999,31.698,..,47.719,52.488,30.748,64.070,69.952,58.284,98.692,..,24.298,54.918,..,16.981,96.354,96.354,31.950
